<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,Signal HA,Signal RSI,Signal SO,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010103,125000,109.03,109.03,109.01,109.03,4,-1,0,1,-1,-1,0
EURJPY,20010103,125100,109.02,109.03,109.01,109.01,4,-1,0,0,-1,-1,0
EURJPY,20010103,125200,109.02,109.02,109,109,4,-1,0,0,-1,-1,0
EURJPY,20010103,125300,109.01,109.02,109.01,109.01,4,0,1,1,-1,-1,0
EURJPY,20010103,125400,108.99,109,108.98,108.98,4,-1,0,0,-1,-1,0
EURJPY,20010103,125500,108.99,108.99,108.98,108.99,4,-1,1,1,-1,-1,0
EURJPY,20010103,125600,108.98,109,108.96,108.96,4,0,0,0,-1,-1,0
EURJPY,20010103,125700,108.95,108.95,108.92,108.92,4,-1,0,0,-1,-1,0
EURJPY,20010103,125800,108.93,108.94,108.91,108.91,4,-1,0,0,-1,-1,0
EURJPY,20010103,125900,108.9,108.92,108.85,108.85,4,-1,0,0,-1,-1,0
EURJPY,20010103,130000,108.86,108.86,108.8,108.8,4,-1,0,0,-1,-1,0
EURJPY,20010103,130100,108.81,108.82,108.79,108.81,4,-1,0,1,-1,-1,0
EURJPY,20010103,130200,108.82,108.84,108.82,108.82,4,0,0,0,-1,-1,0
EURJPY,20010103,130300,108.81,108.83,108.8,108.82,4,-1,0,0,-1,-1,0
EURJPY,20010103,130400,108.83,108.84,108.82,108.83,4,0,0,0,-1,-1,0
EURJPY,20010103,130500,108.84,108.84,108.78,108.78,4,0,0,0,-1,-1,0
EURJPY,20010103,130600,108.77,108.77,108.72,108.72,4,-1,0,0,-1,-1,0
EURJPY,20010103,130700,108.71,108.71,108.65,108.68,4,-1,0,1,-1,-1,0
EURJPY,20010103,130800,108.69,108.73,108.69,108.72,4,-1,0,0,-1,-1,0
EURJPY,20010103,130900,108.73,108.76,108.73,108.74,4,0,0,0,-1,-1,0
EURJPY,20010103,131000,108.73,108.75,108.71,108.71,4,0,0,0,-1,-1,0
EURJPY,20010103,131100,108.7,108.71,108.7,108.7,4,-1,0,0,-1,-1,0
EURJPY,20010103,131200,108.71,108.77,108.7,108.77,4,0,1,0,1,-1,1
EURJPY,20010103,131300,108.77,108.79,108.77,108.79,4,1,0,0,1,-1,0
EURJPY,20010103,131400,108.78,108.8,108.77,108.79,4,1,0,0,1,-1,0
EURJPY,20010103,131500,108.79,108.79,108.78,108.78,4,1,0,0,1,-1,0
EURJPY,20010103,131600,108.77,108.8,108.77,108.79,4,0,0,0,1,-1,0
EURJPY,20010103,131700,108.78,108.8,108.77,108.8,4,0,0,0,1,-1,0
EURJPY,20010103,131800,108.81,108.84,108.81,108.84,4,1,0,0,1,-1,0
EURJPY,20010103,131900,108.85,108.86,108.84,108.85,4,1,0,0,1,-1,0
