<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
USDJPY,20010103,11600,114.44,114.44,114.44,114.44,4,114.44077814395297,114.44054567560423,-0.00023246834874157685,0.0003710630406908701,-1,-1,0
USDJPY,20010103,11700,114.44,114.44,114.41,114.41,4,114.43849828143794,114.43584634089589,-0.002651940542051534,-0.00023353767585761068,-1,-1,0
USDJPY,20010103,11800,114.41,114.41,114.39,114.39,4,114.43490581614624,114.42879305768113,-0.006112758465107504,-0.0014093818337075894,-1,-1,0
USDJPY,20010103,11900,114.39,114.4,114.39,114.4,4,114.43232020013542,114.42436335649941,-0.007956843636009125,-0.0027188741941678966,-1,-1,0
USDJPY,20010103,12000,114.4,114.4,114.4,114.4,4,114.42992611123651,114.42061514780718,-0.009310963429328467,-0.004037292041200011,-1,-1,0
USDJPY,20010103,12100,114.4,114.4,114.4,114.4,4,114.42770936225602,114.41744358660608,-0.010265775649941133,-0.005282988762948236,-1,-1,0
USDJPY,20010103,12200,114.4,114.4,114.4,114.4,4,114.42565681690374,114.41475995789745,-0.010896859006294335,-0.006405762811617456,-1,-1,0
USDJPY,20010103,12300,114.4,114.4,114.4,114.4,4,114.4237563119479,114.41248919514399,-0.011267116803907129,-0.007378033610075392,-1,-1,0
USDJPY,20010103,12500,114.4,114.41,114.4,114.41,4,114.42273732587768,114.4121062420449,-0.010631083832777222,-0.00802864365461576,-1,-1,0
USDJPY,20010103,12600,114.41,114.42,114.41,114.42,4,114.42253456099785,114.41332066634568,-0.009213894652162935,-0.008265693854125195,-1,-1,0
USDJPY,20010103,12700,114.42,114.42,114.42,114.42,4,114.42234681573875,114.41434825613865,-0.007998559600096655,-0.008212267003319488,1,-1,1
USDJPY,20010103,12800,114.42,114.42,114.42,114.42,4,114.42217297753588,114.41521775519425,-0.006955222341630929,-0.007960858070981775,1,-1,0
USDJPY,20010103,12900,114.42,114.42,114.42,114.42,4,114.42201201623693,114.41595348516437,-0.006058531072568485,-0.007580392671299117,1,-1,0
USDJPY,20010103,13000,114.42,114.42,114.42,114.42,4,114.42186297799716,114.41657602590831,-0.005286952088852104,-0.007121704554809715,1,-1,0
USDJPY,20010103,13100,114.43,114.44,114.43,114.44,4,114.42320646110849,114.4201797142301,-0.0030267468783904405,-0.006302713019525861,1,-1,0
USDJPY,20010103,13200,114.44,114.44,114.44,114.44,4,114.4244504269523,114.42322898896393,-0.0012214379883772608,-0.005286458013296141,1,-1,0
USDJPY,20010103,13300,114.44,114.44,114.44,114.44,4,114.42560224717806,114.42580914450794,0.00020689732987477782,-0.004187786944661957,1,1,0
USDJPY,20010103,13400,114.44,114.44,114.44,114.44,4,114.4266687473871,114.42799235304517,0.0013236056580723243,-0.003085508424115101,1,1,0
USDJPY,20010103,13500,114.44,114.44,114.44,114.44,4,114.42765624758064,114.4298396833459,0.0021834357652608105,-0.002031719586239919,1,1,0
USDJPY,20010103,13600,114.44,114.44,114.44,114.44,4,114.4285705996117,114.431402808985,0.0028322093732953135,-0.0010589337943328727,1,1,0
USDJPY,20010103,13800,114.44,114.44,114.44,114.44,4,114.42941722186269,114.43272545375653,0.003308231893839775,-0.00018550065669834317,1,1,0
USDJPY,20010103,13900,114.45,114.45,114.45,114.45,4,114.43094187209508,114.43538307625553,0.004441204160457346,0.0007398403067327947,1,1,0
USDJPY,20010103,14000,114.45,114.45,114.44,114.45,4,114.43235358527322,114.4376318337547,0.005278248481474179,0.0016475219416810718,1,1,0
USDJPY,20010103,14100,114.45,114.45,114.45,114.45,4,114.43366072710484,114.43953462856166,0.005873901456823205,0.0024927978447094983,1,1,0
USDJPY,20010103,14200,114.45,114.45,114.45,114.45,4,114.43487104361559,114.44114468570604,0.006273642090448561,0.003248966693857311,1,1,0
USDJPY,20010103,14300,114.45,114.45,114.45,114.45,4,114.43599170705147,114.44250704175127,0.006515334699798814,0.0039022402950456116,1,1,0
USDJPY,20010103,14400,114.45,114.45,114.45,114.45,4,114.43702935838098,114.44365980455876,0.0066304461777804136,0.004447881471592572,1,1,0
USDJPY,20010103,14500,114.45,114.45,114.45,114.45,4,114.43799014664906,114.44463521924203,0.006645072592974088,0.004887319695868876,1,1,0
USDJPY,20010103,14600,114.45,114.45,114.45,114.45,4,114.43887976541579,114.44546057012786,0.006580804712072563,0.005226016699109614,1,1,0
USDJPY,20010103,14700,114.45,114.45,114.45,114.45,4,114.4397034864961,114.44615894395434,0.006455457458244496,0.00547190485093659,1,1,0
USDJPY,20010103,14800,114.45,114.45,114.45,114.45,4,114.44046619120009,114.44674987565367,0.006283684453578076,0.005634260771464888,1,1,0
USDJPY,20010103,15000,114.45,114.45,114.45,114.45,4,114.44117239925934,114.44724989478388,0.006077495524536403,0.005722907722079192,1,1,0
USDJPY,20010103,15100,114.44,114.44,114.44,114.44,4,114.44108555486976,114.44613452635559,0.005048971485834386,0.005588120474830231,-1,1,-1
USDJPY,20010103,15200,114.44,114.44,114.44,114.44,4,114.44100514339793,114.44519075307011,0.004185609672177293,0.005307618314299644,-1,1,0
USDJPY,20010103,15400,114.44,114.44,114.44,114.44,4,114.44093068833142,114.44439217567471,0.0034614873432872173,0.0049383921200971586,-1,1,0
USDJPY,20010103,15500,114.43,114.43,114.43,114.43,4,114.44012100771428,114.44217799480168,0.0020569870873998752,0.004362111113557702,-1,1,0
USDJPY,20010103,15700,114.43,114.43,114.43,114.43,4,114.43937130343915,114.44030445713989,0.0009331537007426505,0.003676319630994692,-1,1,0
USDJPY,20010103,15800,114.43,114.43,114.43,114.43,4,114.43867713281402,114.43871915604144,4.2023227422305354e-05,0.002949460350280215,-1,1,0
USDJPY,20010103,15900,114.44,114.44,114.44,114.44,4,114.43877512297594,114.43891620895815,0.00014108598220730073,0.0023877854766656322,-1,1,0
USDJPY,20010103,20000,114.44,114.44,114.44,114.44,4,114.43886585460736,114.43908294604151,0.0002170914341519392,0.001953646668162894,-1,1,0
USDJPY,20010103,20100,114.44,114.44,114.44,114.44,4,114.43894986537718,114.4392240312659,0.00027416588871176373,0.001617750512272668,-1,1,0
USDJPY,20010103,20200,114.44,114.44,114.44,114.44,4,114.43902765312701,114.43934341107114,0.00031575794412219693,0.0013573519986425737,-1,1,0
USDJPY,20010103,20300,114.44,114.44,114.44,114.44,4,114.43909967882131,114.4394444247525,0.00034474593118716257,0.0011548307851514917,-1,1,0
USDJPY,20010103,20400,114.44,114.44,114.44,114.44,4,114.439166369279,114.43952989786749,0.0003635285884939776,0.000996570345819989,-1,1,0
