<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010104,22300,105.83,105.83,105.83,105.83,4,105.82225915894725,105.8124994356781,-0.009759723269141318,-0.019971801719336678,1,-1,0
EURJPY,20010104,22400,105.83,105.83,105.83,105.83,4,105.82283255458078,105.81519183018916,-0.007640724391620779,-0.017505586253793497,1,-1,0
EURJPY,20010104,22500,105.83,105.83,105.81,105.81,4,105.8218819949822,105.81439308708315,-0.007488907899059427,-0.015502250582846685,1,-1,0
EURJPY,20010104,22600,105.8,105.8,105.77,105.77,4,105.8180388842428,105.80756338137805,-0.010475502864750297,-0.014496901039227407,1,-1,0
EURJPY,20010104,22700,105.78,105.79,105.78,105.79,4,105.81596192985444,105.80486132270451,-0.011100607149927555,-0.013817642261367438,1,-1,0
EURJPY,20010104,22800,105.78,105.78,105.77,105.78,4,105.81329808319856,105.8010365038269,-0.012261579371667608,-0.013506429683427473,1,-1,0
EURJPY,20010104,22900,105.79,105.81,105.79,105.81,4,105.81305378073941,105.80241550323814,-0.010638277501271887,-0.012932799246996356,1,-1,0
EURJPY,20010104,23000,105.82,105.83,105.82,105.83,4,105.8143090562402,105.80665927197073,-0.007649784269474935,-0.011876196251492072,1,-1,0
EURJPY,20010104,23100,105.83,105.83,105.83,105.83,4,105.81547134837056,105.810250153206,-0.005221195164565984,-0.010545196034106856,1,-1,0
EURJPY,20010104,23200,105.83,105.83,105.83,105.83,4,105.81654754478757,105.8132885911743,-0.003258953613269,-0.009087947549939286,1,-1,0
EURJPY,20010104,23300,105.82,105.82,105.81,105.81,4,105.81606254146996,105.81278265407056,-0.0032798873994011046,-0.00792633551983165,1,-1,0
EURJPY,20010104,23400,105.81,105.82,105.81,105.82,4,105.81635420506477,105.81389301498278,-0.002461190081987752,-0.00683330643226287,1,-1,0
EURJPY,20010104,23500,105.83,105.83,105.83,105.83,4,105.8173650046896,105.81637101267773,-0.0009939920118711143,-0.0056654435481845195,1,-1,0
EURJPY,20010104,23600,105.83,105.83,105.83,105.83,4,105.81830093026817,105.81846777995808,0.00016684968991853566,-0.004498984900563908,1,1,0
EURJPY,20010104,23700,105.83,105.83,105.83,105.83,4,105.81916752802609,105.82024196765684,0.001074439630755819,-0.003384299994299963,1,1,0
EURJPY,20010104,23800,105.83,105.83,105.83,105.83,4,105.8199699333575,105.82174320340194,0.0017732700444383909,-0.0023527859865522926,1,1,0
EURJPY,20010104,23900,105.83,105.83,105.83,105.83,4,105.82071290125695,105.82301347980163,0.0023005785446770233,-0.0014221130803064295,1,1,0
EURJPY,20010104,24000,105.83,105.83,105.82,105.82,4,105.82066009375643,105.82254986752446,0.0018897737680276805,-0.0007597357106396076,1,1,0
EURJPY,20010104,24100,105.82,105.83,105.82,105.82,4,105.82061119792262,105.822157580213,0.0015463822903853952,-0.00029851211043460706,1,1,0
EURJPY,20010104,24200,105.82,105.82,105.82,105.82,4,105.82056592400242,105.82182564479562,0.0012597207932003585,1.3134470292386048e-05,1,1,0
EURJPY,20010104,24300,105.82,105.82,105.82,105.82,4,105.82052400370594,105.82154477636553,0.0010207726595865552,0.00021466210815121987,1,1,0
