<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,%K,%D,Signal SO
EURJPY,20010104,31900,105.79,105.79,105.79,105.79,4,100.0,100.0,0.0
EURJPY,20010104,32000,105.79,105.8,105.79,105.8,4,100.0,100.0,0.0
EURJPY,20010104,32100,105.8,105.8,105.8,105.8,4,100.0,100.0,0.0
EURJPY,20010104,32200,105.8,105.8,105.79,105.79,4,85.71428571429732,95.2380952380991,-1.0
EURJPY,20010104,32300,105.8,105.82,105.8,105.82,4,100.0,95.2380952380991,0.0
EURJPY,20010104,32400,105.83,105.84,105.81,105.81,4,70.00000000000142,85.23809523809958,-1.0
EURJPY,20010104,32500,105.82,105.83,105.82,105.83,4,89.99999999999574,86.66666666666572,0.0
EURJPY,20010104,32600,105.83,105.83,105.83,105.83,4,87.49999999999334,82.49999999999683,0.0
EURJPY,20010104,32700,105.83,105.84,105.83,105.83,4,87.49999999999334,88.33333333332747,-1.0
EURJPY,20010104,32800,105.83,105.83,105.83,105.83,4,87.49999999999334,87.49999999999334,0.0
EURJPY,20010104,32900,105.82,105.82,105.82,105.82,4,74.99999999998667,83.33333333332445,-1.0
EURJPY,20010104,33000,105.82,105.82,105.8,105.8,4,33.33333333332544,65.27777777776848,0.0
EURJPY,20010104,33100,105.79,105.79,105.79,105.79,4,0.0,36.11111111110404,0.0
EURJPY,20010104,33200,105.79,105.79,105.78,105.79,4,16.666666666674562,16.666666666666668,0.0
EURJPY,20010104,33300,105.79,105.8,105.79,105.8,4,33.33333333332544,16.666666666666668,0.0
EURJPY,20010104,33400,105.8,105.8,105.8,105.8,4,33.33333333332544,27.777777777775146,0.0
EURJPY,20010104,33500,105.8,105.81,105.8,105.81,4,50.0,38.88888888888363,0.0
EURJPY,20010104,33600,105.81,105.81,105.81,105.81,4,50.0,44.444444444441814,0.0
EURJPY,20010104,33700,105.81,105.81,105.81,105.81,4,50.0,50.0,0.0
EURJPY,20010104,33800,105.81,105.81,105.81,105.81,4,50.0,50.0,0.0
EURJPY,20010104,33900,105.81,105.81,105.81,105.81,4,50.0,50.0,0.0
EURJPY,20010104,34000,105.81,105.83,105.81,105.83,4,83.33333333332544,61.11111111110848,0.0
EURJPY,20010104,34100,105.83,105.83,105.83,105.83,4,100.0,77.77777777777514,0.0
EURJPY,20010104,34200,105.83,105.83,105.83,105.83,4,100.0,94.4444444444418,0.0
EURJPY,20010104,34300,105.83,105.83,105.83,105.83,4,100.0,100.0,0.0
EURJPY,20010104,34400,105.83,105.83,105.83,105.83,4,100.0,100.0,0.0
EURJPY,20010104,34500,105.84,105.85,105.84,105.85,4,100.0,100.0,0.0
EURJPY,20010104,34600,105.85,105.86,105.85,105.86,4,100.0,100.0,0.0
EURJPY,20010104,34700,105.87,105.87,105.87,105.87,4,100.0,100.0,0.0
EURJPY,20010104,34800,105.87,105.87,105.86,105.86,4,85.71428571427991,95.23809523809331,-1.0
EURJPY,20010104,34900,105.86,105.86,105.86,105.86,4,83.33333333332544,89.68253968253514,0.0
EURJPY,20010104,35000,105.86,105.87,105.86,105.87,4,100.0,89.68253968253511,0.0
EURJPY,20010104,35100,105.87,105.87,105.87,105.87,4,100.0,94.4444444444418,0.0
EURJPY,20010104,35200,105.87,105.88,105.87,105.88,4,100.0,100.0,0.0
EURJPY,20010104,35300,105.88,105.88,105.88,105.88,4,100.0,100.0,0.0
EURJPY,20010104,35400,105.87,105.87,105.85,105.85,4,39.999999999994316,79.99999999999811,-1.0
EURJPY,20010104,35500,105.85,105.85,105.85,105.85,4,39.999999999994316,59.99999999999621,0.0
EURJPY,20010104,35600,105.85,105.85,105.85,105.85,4,39.999999999994316,39.999999999994316,0.0
EURJPY,20010104,35700,105.84,105.84,105.84,105.84,4,20.00000000001137,33.333333333333336,0.0
EURJPY,20010104,35800,105.84,105.84,105.84,105.84,4,0.0,20.000000000001894,0.0
EURJPY,20010104,35900,105.84,105.84,105.84,105.84,4,0.0,6.666666666670456,0.0
EURJPY,20010104,40000,105.84,105.85,105.84,105.84,4,0.0,0.0,0.0
EURJPY,20010104,40100,105.83,105.84,105.83,105.84,4,20.00000000001137,6.666666666670456,1.0
EURJPY,20010104,40200,105.85,105.85,105.85,105.85,4,39.999999999994316,20.000000000001894,0.0
EURJPY,20010104,40300,105.85,105.85,105.85,105.85,4,39.999999999994316,33.333333333333336,0.0
EURJPY,20010104,40400,105.85,105.87,105.85,105.87,4,80.00000000001705,53.333333333335226,0.0
EURJPY,20010104,40500,105.87,105.87,105.86,105.86,4,60.000000000005684,60.000000000005684,0.0
EURJPY,20010104,40600,105.86,105.86,105.86,105.86,4,60.000000000005684,66.66666666667614,0.0
EURJPY,20010104,40700,105.87,105.87,105.87,105.87,4,100.0,73.33333333333712,0.0
